ii libltdl-2.4.6_6                         Runtime libraries for GNU Libtool Dynamic Module Loader
ii libluv-1.41.0.0_1                       Bare libuv bindings for LuaJIT
ii liblz4-1.9.3_1                          LZ4 compression library
ii liblzma-5.2.5_1                         XZ-format compression library
ii libmagic-5.40_1                         File type identification library
ii libmnl-1.0.4_2                          Minimalistic user-space library oriented to Netlink developers
ii libmount-2.36.2_1                       Library for mount(8)
ii libnetfilter_conntrack-1.0.8_1          Library providing an API to the in-kernel connection tracking table
ii libnfnetlink-1.0.1_4                    Low-level library for netfilter kernel/userspace communication
ii libnftnl-1.1.9_1                        Low-level netlink interface to nf_tables
ii libnl3-3.5.0_1                          Netlink Protocol Library Suite
ii libogg-1.3.4_1                          Ogg bitstream file format library
ii libostree-2020.8_2                      Operating system and container binary deployment and upgrades
ii libpcap-1.10.0_1                        System-independent interface for user-level packet capture
ii libpciaccess-0.16_1                     X11 PCI Access library
ii libpcre-8.44_1                          Perl Compatible Regular Expressions - shared libraries
ii libpcre2-10.35_1                        Perl Compatible Regular Expressions (2nd version) - shared libraries
ii libpng-1.6.37_1                         Library for manipulating PNG images
ii libpng-devel-1.6.37_1                   Library for manipulating PNG images - development files
ii libproxy-0.4.15_1                       A library handling all the details of proxy configuration
ii libpsl-0.21.1_1                         Public Suffix List library functions
ii libpulseaudio-14.2_4                    Featureful, general-purpose sound server - shared libraries
ii libreadline8-8.1.000_1                  GNU Readline Library
ii librsvg-2.50.3_1                        SVG library for GNOME
ii libsamplerate-0.1.9_1                   Sample Rate Converter for audio
ii libsasl-2.1.27_1                        Cyrus SASL - runtime shared libraries
ii libseccomp-2.4.3_2                      High level interface to the Linux Kernel's seccomp filter
ii libsensors-3.6.0_1                      Library to read temperature/voltage/fan sensors
ii libsigc++-2.10.3_1                      Type-safe callback system for C++ programs
ii libsmartcols-2.36.2_1                   Table or Tree library from util-linux
ii libsndfile-1.0.31_1                     C library for reading and writing files containing sampled sound
ii libsodium-1.0.18_1                      Modern and easy-to-use crypto library
ii libsoup-2.72.0_1                        HTTP library implementation in C
ii libsoxr-0.1.3_2                         SoX resampler library
ii libssh2-1.9.0_3                         Library implementing the SSH2 protocol
ii libssl1.1-1.1.1k_1                      Toolkit for Secure Sockets Layer and Transport Layer Security - SSL/TLS library
ii libssp-10.2.1pre1_3                     GNU Compiler Collection - SSP (StackSmashingProtection) library
ii libssp-devel-10.2.1pre1_3               GNU Compiler Collection - SSP (StackSmashingProtection) library - development files
ii libstdc++-10.2.1pre1_3                  GNU Compiler Collection - Standard C++ Library
ii libstdc++-devel-10.2.1pre1_3            GNU Compiler Collection - Standard C++ Library - development files
ii libtasn1-4.16.0_1                       ASN.1 structure parser library
ii libtdb-1.4.3_1                          Trivial Database, similar to GDBM but allows simultaneous commits - shared libraries
ii libtermkey-0.22_1                       Library for processing keyboard entry from terminal-based programs
ii libthai-0.1.28_1                        Thai language support routines
ii libtirpc-1.3.1_1                        Transport Independent RPC library (SunRPC replacement)
ii libunbound-1.13.1_2                     Validating, recursive, and caching DNS resolver - shared library
ii libunistring-0.9.10_1                   Library for manipulating Unicode strings and C strings
ii libunwind-1.5.0_3                       Library to determine the call-chain of a program
ii libusb-1.0.24_1                         Library which allows userspace access to USB devices
ii libutempter-1.2.1_1                     Library interface to record user sessions in utmp/wtmp files
ii libuuid-2.36.2_1                        UUID library
ii libuuid-devel-2.36.2_1                  UUID library development files
ii libuv-1.41.0_1                          Multi-platform support library with a focus on asynchronous I/O
ii libvorbis-1.3.7_1                       The Vorbis General Audio Compression Codec
ii libvpx6-1.9.0_2                         VP8 and VP9 video codec
ii libvterm-0.1.4_1                        Abstract VT220/xterm/ECMA-48 emulation library
ii libwacom-1.10_1                         Library to identify wacom tablets
ii libwebp-1.2.0_1                         WebP image format
ii libxbps-0.59.1_5                        XBPS package system utilities - runtime library
ii libxcb-1.14_1                           X protocol C-language Binding
ii libxcb-devel-1.14_1                     X protocol C-language Binding - development files
ii libxkbcommon-1.3.0_1                    Library to handle keyboard descriptions
ii libxkbcommon-x11-1.3.0_1                Library to handle keyboard descriptions - X11 support
ii libxkbfile-1.1.0_1                      Xkbfile Library from X.org
ii libxml2-2.9.10_4                        Library providing XML and HTML support
ii libxshmfence-1.3_2                      X Shared memory 'SyncFence' synchronization primitive
ii libyaml-0.2.5_1                         Fast YAML 1.1 parser and emitter library
ii libzstd-1.4.9_1                         Fast real-time compression algorithm
ii linux-5.11_1                            Linux kernel meta package
ii linux-firmware-amd-20210315_2           Binary firmware blobs for the Linux kernel - AMD CPU/GPU microcode
ii linux-firmware-broadcom-20210315_2      Binary firmware blobs for the Linux kernel - Broadcom network blobs
ii linux-firmware-intel-20210315_2         Binary firmware blobs for the Linux kernel - Intel CPU/GPU microcode
ii linux-firmware-network-20210315_2       Binary firmware blobs for the Linux kernel - network
ii linux-firmware-nvidia-20210315_2        Binary firmware blobs for the Linux kernel NVIDIA GPU microcode
ii linux5.11-5.11.18_1                     Linux kernel and modules (5.11 series)
ii lvm2-2.02.187_2                         Logical Volume Manager 2 utilities
ii lzo-2.10_2                              Portable lossless data compression library
ii man-pages-5.11_2                        Linux Documentation Project (LDP) manual pages
ii mdadm-4.1_3                             Tool for managing/monitoring Linux md device arrays
ii mdcat-0.22.1_3                          Cat for markdown
ii mdocml-1.14.5_7                         UNIX manpage compiler toolset (mandoc)
ii mesa-21.0.3_2                           Graphics library similar to SGI's OpenGL
ii mesa-dri-21.0.3_2                       Mesa DRI drivers
ii mit-krb5-libs-1.18.3_2                  MIT Kerberos 5 implementation - runtime libraries
ii mkfontscale-1.2.1_2                     X11 Scalable Font Index Generator
ii mozjs78-78.9.0_2                        Mozilla JavaScript interpreter and library (78.x series)
ii msgpack-3.3.0_1                         Binary-based efficient object serialization library
ii mtdev-1.1.6_1                           Multitouch Protocol Translation Library
ii ncurses-6.2_4                           System V Release 4.0 curses emulation library
ii ncurses-base-6.2_4                      System V Release 4.0 curses emulation library - base terminfo files
ii ncurses-libs-6.2_4                      System V Release 4.0 curses emulation library -- shared libraries
ii neofetch-7.1.0_2                        Simple system information script
ii neovim-0.4.4_1                          Fork of Vim aiming to improve user experience, plugins and GUIs
ii nettle-3.7.2_1                          Low-level cryptographic library
ii nghttp2-1.43.0_2                        HTTP/2 C Library
ii npth-1.6_1                              New portable threads library
ii nspr-4.30_1                             NetScape Portable Runtime
ii nss-3.64_1                              Mozilla Network Security Services
